step,Grad Norm,loss,F KLDiv,NLL,NLL_val
237,5192724.5,13850302.0,1157980.5,12692322.0,13215605.205648376
238,5089086.5,13757575.0,1142730.0,12614845.0,13215605.205648376
239,5007510.5,13686081.0,1143191.75,12542889.0,13215605.205648376
240,4967829.0,13658543.0,1137896.0,12520647.0,12490031.788227603
241,4863045.5,13598065.0,1125339.125,12472726.0,12490031.788227603
242,4745625.5,13565583.0,1138884.0,12426699.0,12490031.788227603
243,4627789.0,13510283.0,1138875.375,12371408.0,12490031.788227603
244,4551560.5,13408287.0,1127423.875,12280863.0,12490031.788227603
245,4487839.5,13445650.0,1149380.25,12296270.0,12490031.788227603
246,4327464.5,13280226.0,1148372.5,12131854.0,12490031.788227603
247,4284132.5,13255323.0,1135911.0,12119412.0,12490031.788227603
248,4253223.0,13223050.0,1128809.5,12094241.0,12490031.788227603
249,4140468.5,13214687.0,1145355.75,12069331.0,12490031.788227603
250,4106182.25,13194547.0,1126923.625,12067623.0,12043089.74643963
251,3971532.25,13124230.0,1141024.25,11983206.0,12043089.74643963
252,3894116.75,13090758.0,1134905.25,11955853.0,12043089.74643963
253,3818540.5,13025678.0,1147587.625,11878090.0,12043089.74643963
254,3735286.75,12917622.0,1115036.25,11802586.0,12043089.74643963
255,3697353.0,12915286.0,1127484.0,11787802.0,12043089.74643963
256,3626302.25,12914563.0,1120211.625,11794351.0,12043089.74643963
257,3600840.25,12865038.0,1123449.5,11741588.0,12043089.74643963
258,3460753.0,12780642.0,1113692.625,11666949.0,12043089.74643963
259,3427226.25,12786476.0,1124410.5,11662065.0,12043089.74643963
260,3381530.75,12783571.0,1138454.375,11645117.0,11619060.276913697
261,3330843.75,12714528.0,1128393.25,11586135.0,11619060.276913697
262,3230591.0,12643400.0,1121726.5,11521673.0,11619060.276913697
263,3199427.25,12682940.0,1127027.75,11555912.0,11619060.276913697
264,3145563.75,12585020.0,1106924.5,11478096.0,11619060.276913697
265,3069280.75,12572645.0,1113370.125,11459275.0,11619060.276913697
266,3062322.5,12560740.0,1109055.0,11451685.0,11619060.276913697
267,2958676.25,12495118.0,1100561.5,11394557.0,11619060.276913697
268,2874192.0,12486576.0,1127335.125,11359241.0,11619060.276913697
269,2847782.5,12452139.0,1123470.875,11328668.0,11619060.276913697
270,2836077.75,12513294.0,1129116.0,11384178.0,11288529.229444433
271,2725029.25,12357031.0,1101790.75,11255240.0,11288529.229444433
272,2731025.75,12436166.0,1120732.25,11315434.0,11288529.229444433
273,2678582.75,12346264.0,1103672.25,11242592.0,11288529.229444433
274,2630933.5,12370295.0,1117385.25,11252910.0,11288529.229444433
275,2563080.25,12360714.0,1113068.25,11247646.0,11288529.229444433
276,2543443.25,12305592.0,1115483.5,11190109.0,11288529.229444433
277,2508034.25,12324618.0,1114082.875,11210535.0,11288529.229444433
278,2412126.5,12252799.0,1121870.25,11130929.0,11288529.229444433
279,2387229.5,12213252.0,1094550.5,11118702.0,11288529.229444433
280,2393976.75,12228881.0,1097083.375,11131798.0,11053422.399146067
281,2287081.75,12164916.0,1101022.25,11063894.0,11053422.399146067
282,2220900.75,12137199.0,1083270.375,11053929.0,11053422.399146067
283,2299047.0,12176714.0,1104591.25,11072123.0,11053422.399146067
284,2207086.25,12204356.0,1097670.5,11106686.0,11053422.399146067
285,2164797.5,12192556.0,1107240.25,11085316.0,11053422.399146067
286,2111638.5,12081363.0,1094419.25,10986944.0,11053422.399146067
287,2098701.25,12075466.0,1082550.5,10992916.0,11053422.399146067
288,2076715.5,12088344.0,1087770.25,11000574.0,11053422.399146067
289,2061979.5,12046822.0,1072651.75,10974170.0,11053422.399146067
290,2022040.625,12064261.0,1100679.25,10963582.0,10974112.506142562
291,1945667.25,12042323.0,1089542.75,10952780.0,10974112.506142562
292,1940695.75,11991731.0,1109377.0,10882354.0,10974112.506142562
293,1880538.125,11956822.0,1080601.625,10876220.0,10974112.506142562
294,1853217.375,11953798.0,1085363.5,10868435.0,10974112.506142562
295,1908157.0,11969748.0,1066697.75,10903050.0,10974112.506142562
296,1813778.5,11950032.0,1092307.25,10857725.0,10974112.506142562
297,1752275.25,11902676.0,1085618.625,10817057.0,10974112.506142562
298,1717620.5,11912290.0,1084663.5,10827626.0,10974112.506142562
299,1701401.25,11904160.0,1104265.625,10799894.0,10974112.506142562
300,1696932.375,11887951.0,1092282.25,10795669.0,10773439.252658686
301,1692070.625,11905646.0,1088097.0,10817549.0,10773439.252658686
302,1655886.75,11853704.0,1069197.5,10784506.0,10773439.252658686
303,1639056.625,11829066.0,1052006.5,10777060.0,10773439.252658686
304,1541810.375,11772986.0,1079355.875,10693630.0,10773439.252658686
305,1597265.125,11880414.0,1075499.75,10804914.0,10773439.252658686
306,1544542.0,11852433.0,1085281.25,10767152.0,10773439.252658686
307,1523187.75,11806264.0,1081234.5,10725029.0,10773439.252658686
308,1492892.25,11789410.0,1090526.375,10698884.0,10773439.252658686
309,1447665.375,11787999.0,1082601.0,10705398.0,10773439.252658686
310,1471244.875,11760697.0,1069609.0,10691088.0,10672528.038888218
311,1444336.875,11784477.0,1075427.0,10709050.0,10672528.038888218
312,1402345.0,11755176.0,1067224.5,10687952.0,10672528.038888218
313,1386729.75,11764526.0,1081394.75,10683131.0,10672528.038888218
314,1391970.125,11790469.0,1093444.875,10697024.0,10672528.038888218
315,1324924.375,11716921.0,1075534.75,10641386.0,10672528.038888218
316,1274524.625,11716881.0,1083513.625,10633367.0,10672528.038888218
317,1304194.125,11709102.0,1062258.625,10646843.0,10672528.038888218
318,1307865.875,11717614.0,1073357.75,10644256.0,10672528.038888218
319,1274733.75,11715008.0,1063766.125,10651242.0,10672528.038888218
320,1234628.5,11739709.0,1070400.75,10669308.0,10529707.426474677
321,1212146.125,11676828.0,1068063.75,10608764.0,10529707.426474677
322,1202227.0,11669484.0,1070007.375,10599477.0,10529707.426474677
323,1190575.5,11663218.0,1085591.75,10577626.0,10529707.426474677
324,1119897.625,11582474.0,1067114.0,10515360.0,10529707.426474677
325,1129788.875,11604494.0,1060530.5,10543963.0,10529707.426474677
326,1147963.375,11645846.0,1067775.875,10578070.0,10529707.426474677
327,1069108.75,11580900.0,1052875.5,10528024.0,10529707.426474677
328,1120923.75,11633926.0,1063669.375,10570257.0,10529707.426474677
329,1050163.75,11578370.0,1071330.125,10507040.0,10529707.426474677
330,1063185.5,11624156.0,1080298.5,10543858.0,10529862.750686113
331,1062052.375,11610139.0,1059476.75,10550662.0,10529862.750686113
332,1017169.25,11593362.0,1059187.75,10534174.0,10529862.750686113
333,1046446.875,11556238.0,1064247.0,10491991.0,10529862.750686113
334,928438.0625,11508891.0,1054695.75,10454195.0,10529862.750686113
335,987426.75,11550381.0,1069715.0,10480666.0,10529862.750686113
336,983911.1875,11550317.0,1058271.25,10492046.0,10529862.750686113
337,952987.3125,11533361.0,1060072.875,10473288.0,10529862.750686113
338,922008.875,11522177.0,1062610.75,10459566.0,10529862.750686113
339,894486.8125,11513664.0,1062899.75,10450764.0,10529862.750686113
340,888067.375,11493504.0,1063345.625,10430158.0,10486755.779862128
341,902453.9375,11516932.0,1052648.5,10464283.0,10486755.779862128
342,2159129.5,11504317.0,1064553.25,10439764.0,10486755.779862128
343,926558.9375,11535634.0,1077109.125,10458525.0,10486755.779862128
344,1863017.5,11493148.0,1060881.875,10432266.0,10486755.779862128
345,1011858.9375,11492499.0,1054115.0,10438384.0,10486755.779862128
346,829178.4375,11503929.0,1071413.75,10432515.0,10486755.779862128
347,834831.375,11501959.0,1046814.75,10455144.0,10486755.779862128
348,791150.625,11431244.0,1039879.375,10391365.0,10486755.779862128
349,802750.5625,11466620.0,1048267.75,10418352.0,10486755.779862128
350,799501.8125,11507899.0,1052732.75,10455166.0,10463744.160276854
351,820545.6875,11486385.0,1059941.875,10426443.0,10463744.160276854
352,748574.625,11423916.0,1042046.5,10381869.0,10463744.160276854
353,758068.5,11412847.0,1048268.625,10364578.0,10463744.160276854
354,733170.625,11445362.0,1052450.0,10392912.0,10463744.160276854
355,727216.375,11427977.0,1048135.75,10379841.0,10463744.160276854
